latitude,longitude,VehicleID,Timestamp
27.499210056909053,77.66930580139162,UP85AW0000,10:39:25
27.49920177788267,77.66829197272861,UP85AW0000,10:39:35
27.49968773559143,77.66743886468615,UP85AW0000,10:39:43
27.50026256432745,77.66665913369832,UP85AW0000,10:39:50
27.50047228052872,77.66567320305299,UP85AW0000,10:39:56
27.50056062933056,77.66466422288619,UP85AW0000,10:40:06
27.500648978132403,77.66365524271939,UP85AW0000,10:40:15
27.500737326934246,77.66264626255258,UP85AW0000,10:40:22
27.500831188146485,77.66163791268907,UP85AW0000,10:40:27
27.500925049358724,77.66062956282556,UP85AW0000,10:40:36
27.501018910570963,77.65962121296205,UP85AW0000,10:40:41
27.501065133749808,77.65860866418527,UP85AW0000,10:40:50
27.501111356928654,77.65759611540848,UP85AW0000,10:40:55
27.501092379204632,77.65658245219258,UP85AW0000,10:41:05
27.50107340148061,77.65556878897668,UP85AW0000,10:41:11
27.500917457785377,77.65457026115683,UP85AW0000,10:41:19
27.500761514090144,77.65357173333699,UP85AW0000,10:41:26
27.50134518130523,77.65280038578156,UP85AW0000,10:41:33
27.502243575683053,77.65284641655134,UP85AW0000,10:41:43
27.503141970060877,77.65289244732112,UP85AW0000,10:41:50
27.5040403644387,77.6529384780909,UP85AW0000,10:41:57
